person,Avg Daily spending,Highest daily spending,Lowest daily spending,count days no spending,count days spending 0_to_5,count days spending 5_to_10,count days spending 10_to_15,count days spending 15_to_20,count days spending 20_plus,std_daily_spending
0009655768c64bdeb2e877511632db8f,4.253333333333333,28.16,8.57,22.0,0.0,1.0,1.0,1.0,2.0,7.86723249474914
00116118485d4dfda04fdbaba9a87b5c,0.13633333333333333,3.39,0.7000000000000001,28.0,2.0,0.0,0.0,0.0,0.0,0.6276528984395278
0011e0d4e6b944f998e987f904e8c1e5,2.6486666666666667,23.03,8.96,25.0,0.0,1.0,1.0,0.0,2.0,6.461309109019538
0020c2b971eb4e9188eac86d93036a77,6.562,49.629999999999995,17.24,24.0,0.0,0.0,0.0,1.0,5.0,14.444318630162353
0020ccbbb6d84e358d3414a3ff76cffd,5.135,30.839999999999996,6.8100000000000005,19.0,0.0,3.0,3.0,2.0,1.0,7.923300318114572
003d66b6608740288d6cc97a6903f4f0,1.6113333333333333,9.600000000000001,0.44,16.0,11.0,3.0,3.0,0.0,0.0,2.5485746298035226
00426fe3ffde4c6b9cb9ad6d077a13ea,2.283666666666667,16.97,0.97,18.0,7.0,3.0,3.0,1.0,0.0,4.12393474925246
004b041fbfe44859945daa2c7f79ee64,4.612,45.41,19.48,25.0,0.0,0.0,0.0,2.0,3.0,11.198118499597799
004c5799adbf42868b9cff0396190900,11.57933333333333,71.5,22.22,21.0,0.0,0.0,0.0,0.0,9.0,19.855609809812947
005500a7188546ff8a767329a2f7c76a,0.6786666666666666,10.649999999999999,4.39,27.0,1.0,1.0,1.0,0.0,0.0,2.252809331713954
0056df74b63b4298809f0b375a304cf4,4.804666666666666,29.89,27.59,25.0,0.0,0.0,0.0,0.0,5.0,10.93436365344354
0063def0f9c14bc4805322a488839b32,0.24033333333333337,2.76,2.06,27.0,3.0,0.0,0.0,0.0,0.0,0.7390697010353664
0069a50874d846438e58acff5e594725,1.1166666666666667,16.2,0.6000000000000001,25.0,2.0,2.0,2.0,1.0,0.0,3.3639009921603624
00715b6e55c3431cb56ff7307eb19675,12.503999999999998,54.54,11.49,17.0,0.0,0.0,0.0,1.0,11.0,16.349256779480204
0082fd87c18f45f2be70dbcbb0fb8aad,4.0616666666666665,24.59,8.95,23.0,0.0,1.0,1.0,3.0,2.0,7.856489996014203
00840a2ca5d2408e982d56544dc14ffd,2.097666666666667,8.4,0.29,14.0,9.0,7.0,7.0,0.0,0.0,2.6960848796284065
00857b24b13f4fe0ad17b605f00357f5,0.20866666666666667,2.81,0.7000000000000001,26.0,4.0,0.0,0.0,0.0,0.0,0.6240453859120831
008d7088107b468893889da0ede0df5c,0.5393333333333333,5.1,1.06,25.0,4.0,1.0,1.0,0.0,0.0,1.3477258836541148
0091d2b6a5ea4defaa8393e4e816db60,9.305333333333333,49.22,12.84,21.0,0.0,0.0,0.0,1.0,7.0,15.658862805702594
0092a132ead946ceb30d11a1ed513d20,0.08466666666666667,1.32,0.48,27.0,3.0,0.0,0.0,0.0,0.0,0.28194806728133137
0099bf30e4cb4265875266eb3eb25eab,3.5276666666666663,73.28999999999999,1.13,23.0,3.0,2.0,2.0,0.0,1.0,13.442929094645937
009d10c2c38a4fd795a7bc6ddbbddb78,0.39266666666666666,3.65,0.07,23.0,7.0,0.0,0.0,0.0,0.0,0.9536208070706934
00a794f62b9a48beb58f8f6c02c2f1a6,5.546666666666667,26.39,5.96,19.0,0.0,3.0,3.0,3.0,3.0,8.489327715282952
00ad4c2cace94f67a6354ec90d6c6f45,0.6910000000000001,5.75,0.51,22.0,7.0,1.0,1.0,0.0,0.0,1.5335744812871568
00ae03011f9f49b8a4b3e6d416678b0b,7.2683333333333335,39.48,13.24,22.0,0.0,0.0,0.0,2.0,5.0,13.240567777005305
00aee28bbb3848dd8a31f0c91dc267dd,0.6843333333333332,8.82,1.88,25.0,3.0,2.0,2.0,0.0,0.0,1.9002861550999024
00b18b535d6d4f779dea4dc9ac451478,4.441666666666666,34.3,23.97,25.0,0.0,0.0,0.0,0.0,5.0,10.22989368041739
00b3400e4ff64ee68ce9ada1d0c222f0,5.4639999999999995,23.88,10.96,21.0,0.0,0.0,0.0,4.0,4.0,8.786496143671755
00b3c376db2a4115af3aef34a02f61d6,7.321,33.85,19.44,22.0,0.0,0.0,0.0,1.0,7.0,12.524138169812392
00b5fb9d842d437e83033ad9e36f7148,0.258,3.85,0.91,27.0,3.0,0.0,0.0,0.0,0.0,0.8814971590307652
00b901d68f8f4fd68075184cd0f772d2,1.7850000000000001,21.46,11.9,27.0,0.0,0.0,0.0,0.0,2.0,5.614608255441244
00bbce6533f44ddeaf4dd32bcab55441,2.573666666666667,18.51,5.39,23.0,0.0,3.0,3.0,1.0,0.0,5.148550169763786
00bc42a62f884b41a13cc595856cf7c3,5.021333333333333,23.99,13.63,22.0,0.0,0.0,0.0,3.0,3.0,8.723983483254193
00bc983061d3471e8c8e74d31b7c8b6f,2.1166666666666667,27.99,14.11,27.0,0.0,0.0,0.0,0.0,2.0,6.710989100918258
00c20a9202d5475190b31a24de6fb06d,5.467,35.879999999999995,14.41,23.0,0.0,0.0,0.0,1.0,5.0,10.571756174859958
00c2f812f4604c8893152a5c6572030e,4.136333333333334,39.06,12.97,25.0,0.0,0.0,0.0,0.0,3.0,10.326785888242728
00c32a104f0c4065b5b552895fb22e34,0.23266666666666666,5.93,1.05,28.0,1.0,1.0,1.0,0.0,0.0,1.0929773740704265
00c5a385c71a4d3db5e9b4e31e430943,0.08633333333333333,1.56,1.03,28.0,2.0,0.0,0.0,0.0,0.0,0.335841540357778
00c6035df45840038a72766c6d27a0db,8.051666666666666,36.65,13.8,20.0,0.0,0.0,0.0,1.0,7.0,12.281103534413694
00c91f31f5f74e769fa7a359b63e1a9f,4.491333333333333,25.17,4.2,18.0,1.0,6.0,6.0,2.0,1.0,6.902747945231835
00ceaf16a40341e6996d543d04daa2c2,0.8993333333333333,6.86,0.1,22.0,6.0,2.0,2.0,0.0,0.0,1.9264223286978759
00cf1bbec83f4a658f8994e556db4633,2.142333333333333,33.28,13.8,27.0,0.0,0.0,0.0,1.0,1.0,7.085212226803838
00cf471ed1aa42a8bdde5561d67da2b1,0.8726666666666667,8.41,1.32,23.0,5.0,2.0,2.0,0.0,0.0,2.0207354982834813
00d6dc87be4146ceb47fcd4baaaf6477,11.154666666666666,59.31999999999999,19.38,20.0,0.0,0.0,0.0,1.0,9.0,18.130123481964056
00d791e20c564add8056498e40eb56cc,1.9873333333333332,15.72,0.23,17.0,9.0,3.0,3.0,1.0,0.0,3.6145204607139156
00d7c95f793a4212af44e632fdc1e431,5.414,39.72,18.58,24.0,0.0,0.0,0.0,1.0,5.0,11.45337583121389
00d91c5919514448bc4f718e4e3f26ab,1.4866666666666666,25.38,19.22,28.0,0.0,0.0,0.0,1.0,1.0,5.715217034122714
00e20b4ca129458aaab0f4727ef3513a,6.385,125.32,0.13,13.0,11.0,4.0,4.0,0.0,1.0,22.627285596117705
00e52682848542c3a6f59b7824e9a5c5,0.769,15.75,7.32,28.0,0.0,1.0,1.0,1.0,0.0,3.1288648927752347
00e8d701c583461e81cc10053681a12b,1.0326666666666666,9.8,2.07,23.0,5.0,2.0,2.0,0.0,0.0,2.3586625861708788
00e9f403afa641889cd034ee7c7ca6e9,20.48633333333333,439.37,2.23,18.0,1.0,3.0,3.0,1.0,5.0,79.69150240180863
00ed7e22b32749cfafbfd88592d401d4,7.898666666666666,51.11,14.64,20.0,0.0,0.0,0.0,2.0,6.0,12.769115956042164
